text,category,priority
solar panel subsidy ki jankari chahiye Remote area of Sonbhadra ke liye,Electricity (UPPCL),Low
"mobile phone snatched while walking in Civil Lines, Kanpur",Police (Home Dept),Medium
"clean water nahi aa raha hai Prayagraj City mein, paani bohot ganda hai",Sanitation & Water (Jal Nigam/Nagar Nigam),High
park needs cleaning in Mau Tehsil residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
mobile phone snatched while walking in Orai,Police (Home Dept),Medium
character certificate chahiye Gram Panchayat Bojhi police station se,Police (Home Dept),Low
unhygienic toilets in the Faizabad Chowk government hospital,Health (Medical),Medium
meter reading galat hai Etawah Main wale ghar ki,Electricity (UPPCL),Medium
traffic police asking for bribe at Village Chhata crossing,Police (Home Dept),Medium
meter reading galat hai Noida Sector 18 wale ghar ki,Electricity (UPPCL),Medium
talaab par kabza ho raha hai Gram Kachhona gaon mein,Rural Development (Panchayati Raj),Medium
"unhygienic toilets in the Gomti Nagar, Lucknow government hospital",Health (Medical),Medium
pradhan embezzled all money for road construction in Village Rampur,Rural Development (Panchayati Raj),High
street light pole looking tilted in Village Basrehar,Electricity (UPPCL),Low
public toilet tap is dripping in Faizabad Chowk,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
armed robbery in shop at Gram Kachhona market last night,Police (Home Dept),High
mobile phone snatched while walking in Agra Fort area,Police (Home Dept),Medium
armed robbery in shop at Meerut City market last night,Police (Home Dept),High
long waiting line for opd registration in Ghaziabad,Health (Medical),Low
frequent power cuts in Gram Panchayat Bojhi is affecting exam preparation,Electricity (UPPCL),Medium
internet nahi chal raha Village Rampur panchayat bhavan me,Rural Development (Panchayati Raj),Low
"live wire fell on the street in Basti, huge danger to kids",Electricity (UPPCL),High
armed robbery in shop at Unnao City market last night,Police (Home Dept),High
handpump kharab hai Etawah Main mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
"potholes needs repair in Sigra, Varanasi before monsoon",Roads (PWD/NHAI),Medium
"primary school roof is leaking in Remote area of Sonbhadra, dangerous for kids",Rural Development (Panchayati Raj),Medium
garbage truck not coming to Bareilly Cantt for last 3 days,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
pradhan ne paisa kha liya Gram Panchayat Bojhi road ka,Rural Development (Panchayati Raj),High
"ambulance nahi aa rahi Ghaziabad mein, patient serious hai",Health (Medical),High
"primary school roof is leaking in Gram Kachhona, dangerous for kids",Rural Development (Panchayati Raj),Medium
"road caved in due to heavy rain in Faizabad Chowk, traffic blocked",Roads (PWD/NHAI),High
birth certificate spelling correction request at Barabanki Town,Health (Medical),Low
footpath tiles broken in some places at Village Rampur,Roads (PWD/NHAI),Low
ganda paani nalo se aa raha hai Unnao City area me,Sanitation & Water (Jal Nigam/Nagar Nigam),High
garbage truck not coming to Gonda City for last 3 days,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
x-ray machine kharab hai Remote area of Sonbhadra mein,Health (Medical),Medium
need a sign board direction for Bareilly Cantt village,Roads (PWD/NHAI),Low
"sewage water mixing with drinking water in Mau Tehsil, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
poore gaon mein light nahi hai Post Kakori mein pichle 2 din se,Electricity (UPPCL),High
street light pole looking tilted in Block Malihabad,Electricity (UPPCL),Low
huge crater in middle of road at Hardoi City causing accidents daily,Roads (PWD/NHAI),High
public toilet tap is dripping in Orai,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
low voltage problem in Village Rampur during evening hours,Electricity (UPPCL),Medium
unhygienic toilets in the Noida Sector 18 government hospital,Health (Medical),Medium
mnrega ka paisa nahi mila Village Rampur mein,Rural Development (Panchayati Raj),High
ladayi ho rahi hai Orai chourahe par,Police (Home Dept),High
"sewage water mixing with drinking water in Block Malihabad, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
"bridge railing toot gayi hai Hazratganj, Lucknow mein",Roads (PWD/NHAI),High
phone chori ho gaya Village Rampur market me,Police (Home Dept),Medium
"sewage water mixing with drinking water in Village Chhata, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
handpump kharab hai Meerut City mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
"road caved in due to heavy rain in Orai, traffic blocked",Roads (PWD/NHAI),High
mobile phone snatched while walking in Meerut City,Police (Home Dept),Medium
"bijli ka bill bahut jyada aaya hai Civil Lines, Kanpur mein",Electricity (UPPCL),Medium
request to start sewing center for women in Village Basrehar,Rural Development (Panchayati Raj),Low
transformer caught fire in Mau Tehsil and oil is leaking,Electricity (UPPCL),High
"ambulance nahi aa rahi Bareilly Cantt mein, patient serious hai",Health (Medical),High
"sewage water mixing with drinking water in Hazratganj, Lucknow, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
"primary school roof is leaking in Village Rampur, dangerous for kids",Rural Development (Panchayati Raj),Medium
"primary school roof is leaking in Block Malihabad, dangerous for kids",Rural Development (Panchayati Raj),Medium
"flood water entered village houses in Mau Tehsil, need rescue",Rural Development (Panchayati Raj),High
footpath tiles broken in some places at Noida Sector 18,Roads (PWD/NHAI),Low
sadak toot gayi hai Gram Kachhona mein,Roads (PWD/NHAI),Medium
"live wire fell on the street in Gram Kachhona, huge danger to kids",Electricity (UPPCL),High
"meter name change application pending in Hazratganj, Lucknow",Electricity (UPPCL),Low
"park needs cleaning in Sigra, Varanasi residential area",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
garbage truck not coming to Tehsil Bikapur for last 3 days,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
"poore gaon mein light nahi hai Sigra, Varanasi mein pichle 2 din se",Electricity (UPPCL),High
low voltage problem in Post Kakori during evening hours,Electricity (UPPCL),Medium
"sewage water mixing with drinking water in Raebareli Market, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
" मच्छर बहुत हो गए हैं Village Basrehar में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
unhygienic toilets in the Orai government hospital,Health (Medical),Medium
library books request for Post Kakori village school,Rural Development (Panchayati Raj),Low
"live wire fell on the street in Mau Tehsil, huge danger to kids",Electricity (UPPCL),High
vaccine kab lagega Raebareli Market center par?,Health (Medical),Low
poore gaon mein light nahi hai Noida Sector 18 mein pichle 2 din se,Electricity (UPPCL),High
"Orai me transformer jal gaya hai, turant change karein",Electricity (UPPCL),High
road construction incomplete in Unnao City,Roads (PWD/NHAI),Medium
potholes needs repair in Meerut City before monsoon,Roads (PWD/NHAI),Medium
"Gonda City me transformer jal gaya hai, turant change karein",Electricity (UPPCL),High
talaab par kabza ho raha hai Village Chhata gaon mein,Rural Development (Panchayati Raj),Medium
kachra uthane vali gaadi nahi aayi Etawah Main mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
"chori ho gayi hai Unnao City mein, police bhejo",Police (Home Dept),High
"live wire fell on the street in Ghaziabad, huge danger to kids",Electricity (UPPCL),High
mnrega ka paisa nahi mila Village Basrehar mein,Rural Development (Panchayati Raj),High
pradhan ne paisa kha liya Tehsil Bikapur road ka,Rural Development (Panchayati Raj),High
"primary school roof is leaking in Village Chhata, dangerous for kids",Rural Development (Panchayati Raj),Medium
unhygienic toilets in the Noida Sector 18 government hospital,Health (Medical),Medium
dogs roaming inside the ward at Bareilly Cantt chc,Health (Medical),Medium
footpath tiles broken in some places at Village Basrehar,Roads (PWD/NHAI),Low
armed robbery in shop at Etawah Main market last night,Police (Home Dept),High
"flood water entered village houses in Village Rampur, need rescue",Rural Development (Panchayati Raj),High
"sewage water mixing with drinking water in Faizabad Chowk, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
"mobile phone snatched while walking in Gomti Nagar, Lucknow",Police (Home Dept),Medium
talaab par kabza ho raha hai Post Kakori gaon mein,Rural Development (Panchayati Raj),Medium
pradhan ne paisa kha liya Tehsil Bikapur road ka,Rural Development (Panchayati Raj),High
fake medicine racket operating in Noida Sector 18 medical stores,Health (Medical),High
fake medicine racket operating in Remote area of Sonbhadra medical stores,Health (Medical),High
encroachment by shopkeepers on road in Remote area of Sonbhadra,Roads (PWD/NHAI),Medium
"sadak par bada gadda hai Civil Lines, Kanpur market ke paas",Roads (PWD/NHAI),High
potholes needs repair in Village Chhata before monsoon,Roads (PWD/NHAI),Medium
park needs cleaning in Agra Fort area residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
" मच्छर बहुत हो गए हैं Prayagraj City में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
huge crater in middle of road at Basti causing accidents daily,Roads (PWD/NHAI),High
"chori ho gayi hai Ghaziabad mein, police bhejo",Police (Home Dept),High
vaccine kab lagega Block Malihabad center par?,Health (Medical),Low
pradhan ne paisa kha liya Gram Kachhona road ka,Rural Development (Panchayati Raj),High
request to start sewing center for women in Tehsil Bikapur,Rural Development (Panchayati Raj),Low
vaccine kab lagega Gram Panchayat Bojhi center par?,Health (Medical),Low
"road caved in due to heavy rain in Gonda City, traffic blocked",Roads (PWD/NHAI),High
"live wire fell on the street in Civil Lines, Kanpur, huge danger to kids",Electricity (UPPCL),High
birth certificate spelling correction request at Hardoi City,Health (Medical),Low
public toilet tap is dripping in Village Basrehar,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
long waiting line for opd registration in Basti,Health (Medical),Low
pradhan embezzled all money for road construction in Village Chhata,Rural Development (Panchayati Raj),High
park needs cleaning in Gonda City residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
doctor late aate hain Noida Sector 18 hospital mein,Health (Medical),Medium
"sadak toot gayi hai Gomti Nagar, Lucknow mein",Roads (PWD/NHAI),Medium
unhygienic toilets in the Remote area of Sonbhadra government hospital,Health (Medical),Medium
kachra uthane vali gaadi nahi aayi Prayagraj City mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
doctor refused to treat critical patient in Unnao City phc,Health (Medical),High
doctor refused to treat critical patient in Prayagraj City phc,Health (Medical),High
talaab par kabza ho raha hai Block Malihabad gaon mein,Rural Development (Panchayati Raj),Medium
armed robbery in shop at Gram Kachhona market last night,Police (Home Dept),High
library books request for Gram Kachhona village school,Rural Development (Panchayati Raj),Low
"passport verification pending at Gomti Nagar, Lucknow thana for 2 weeks",Police (Home Dept),Low
sadak toot gayi hai Agra Fort area mein,Roads (PWD/NHAI),Medium
internet nahi chal raha Post Kakori panchayat bhavan me,Rural Development (Panchayati Raj),Low
"primary school roof is leaking in Tehsil Bikapur, dangerous for kids",Rural Development (Panchayati Raj),Medium
"potholes needs repair in Sigra, Varanasi before monsoon",Roads (PWD/NHAI),Medium
ladayi ho rahi hai Faizabad Chowk chourahe par,Police (Home Dept),High
need a sign board direction for Village Rampur village,Roads (PWD/NHAI),Low
bijli ka bill bahut jyada aaya hai Block Malihabad mein,Electricity (UPPCL),Medium
footpath tiles broken in some places at Gonda City,Roads (PWD/NHAI),Low
"live wire fell on the street in Agra Fort area, huge danger to kids",Electricity (UPPCL),High
talaab par kabza ho raha hai Remote area of Sonbhadra gaon mein,Rural Development (Panchayati Raj),Medium
talaab par kabza ho raha hai Gram Kachhona gaon mein,Rural Development (Panchayati Raj),Medium
"Orai me transformer jal gaya hai, turant change karein",Electricity (UPPCL),High
frequent power cuts in Gonda City is affecting exam preparation,Electricity (UPPCL),Medium
"live wire fell on the street in Sitapur One, huge danger to kids",Electricity (UPPCL),High
huge crater in middle of road at Unnao City causing accidents daily,Roads (PWD/NHAI),High
solar panel subsidy ki jankari chahiye Prayagraj City ke liye,Electricity (UPPCL),Low
traffic police asking for bribe at Post Kakori crossing,Police (Home Dept),Medium
huge crater in middle of road at Prayagraj City causing accidents daily,Roads (PWD/NHAI),High
need a sign board direction for Noida Sector 18 village,Roads (PWD/NHAI),Low
x-ray machine kharab hai Gram Panchayat Bojhi mein,Health (Medical),Medium
fake medicine racket operating in Tehsil Bikapur medical stores,Health (Medical),High
huge crater in middle of road at Bareilly Cantt causing accidents daily,Roads (PWD/NHAI),High
internet nahi chal raha Village Rampur panchayat bhavan me,Rural Development (Panchayati Raj),Low
street light pole looking tilted in Remote area of Sonbhadra,Electricity (UPPCL),Low
poore gaon mein light nahi hai Agra Fort area mein pichle 2 din se,Electricity (UPPCL),High
